id,title,release_date,popularity,vote_average,genre_ids,genres,year,revenue,budget
38,Eternal Sunshine of the Spotless Mind,2004-03-19,12.6891,8.091,"(878, 18, 10749)","['Science Fiction', 'Drama', 'Romance']",2004,72258126.0,20000000.0
122906,About Time,2013-09-04,12.6732,7.916,"(18, 10749, 14)","['Drama', 'Romance', 'Fantasy']",2013,87100449.0,12000000.0
1579,Apocalypto,2006-12-07,12.6586,7.586,"(28, 18, 36)","['Action', 'Drama', 'History']",2006,120654337.0,40000000.0
1022796,Wish,2023-11-13,12.6478,6.317,"(16, 10751, 14, 12)","['Animation', 'Family', 'Fantasy', 'Adventure']",2023,254997360.0,175000000.0
49530,In Time,2011-10-27,12.5797,6.971,"(28, 53, 878)","['Action', 'Thriller', 'Science Fiction']",2011,173900000.0,40000000.0
1235623,Eye for an Eye 2,2024-07-21,12.5512,6.29,"(28, 18)","['Action', 'Drama']",2024,0.0,0.0
198184,Chappie,2015-03-04,12.4974,6.787,"(80, 28, 878)","['Crime', 'Action', 'Science Fiction']",2015,104399548.0,49000000.0
10144,The Little Mermaid,1989-11-17,12.4897,7.35,"(16, 10751, 14)","['Animation', 'Family', 'Fantasy']",1989,211343479.0,40000000.0
340837,A Cure for Wellness,2017-02-15,11.074,6.338,"(27, 9648, 878)","['Horror', 'Mystery', 'Science Fiction']",2017,26620002.0,40000000.0
102651,Maleficent,2014-05-28,11.6614,7.088,"(14, 12, 28, 10751, 10749)","['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",2014,758539785.0,180000000.0
891699,Silent Night,2023-11-30,12.0224,6.205,"(28, 53, 80)","['Action', 'Thriller', 'Crime']",2023,0.0,0.0
889737,Joker: Folie à Deux,2024-10-01,12.1524,5.443,"(18, 80, 53)","['Drama', 'Crime', 'Thriller']",2024,207500287.0,190000000.0
1395724,Chijin no Ai,2024-11-29,12.2801,6.0,"(18,)",['Drama'],2024,0.0,0.0
345887,The Equalizer 2,2018-07-19,10.901,6.772,"(28, 53, 80)","['Action', 'Thriller', 'Crime']",2018,190400157.0,62000000.0
726139,Project Silence,2024-07-11,11.941,7.002,"(53, 28, 27, 878, 12)","['Thriller', 'Action', 'Horror', 'Science Fiction', 'Adventure']",2024,6283415.0,14750000.0
140300,Kung Fu Panda 3,2016-01-23,13.7729,6.9,"(28, 12, 16, 35, 10751)","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2016,521170825.0,145000000.0
978796,Bagman,2024-09-20,12.312,6.258,"(27, 53)","['Horror', 'Thriller']",2024,0.0,14500000.0
1064028,Subservience,2024-08-15,12.187,6.704,"(27, 878, 53)","['Horror', 'Science Fiction', 'Thriller']",2024,262793.0,4400000.0
1470082,The Jowa Collector,2025-05-13,11.8905,0.0,"(18,)",['Drama'],2025,0.0,0.0
381284,Hidden Figures,2016-12-10,12.1466,8.055,"(18, 36)","['Drama', 'History']",2016,235957472.0,25000000.0
512200,Jumanji: The Next Level,2019-12-04,12.1376,6.895,"(12, 35, 14)","['Adventure', 'Comedy', 'Fantasy']",2019,801693929.0,125000000.0
423,The Pianist,2002-09-17,12.126,8.379,"(18, 10752)","['Drama', 'War']",2002,120098945.0,35000000.0
275,Fargo,1996-03-08,11.994,7.855,"(80, 18, 53)","['Crime', 'Drama', 'Thriller']",1996,60611975.0,7000000.0
24,Kill Bill: Vol. 1,2003-10-10,11.9866,7.97,"(28, 80)","['Action', 'Crime']",2003,180906076.0,30000000.0
713704,Evil Dead Rise,2023-04-12,11.9814,6.931,"(27, 53)","['Horror', 'Thriller']",2023,147156372.0,15000000.0
8392,My Neighbor Totoro,1988-04-16,11.9589,8.071,"(14, 16, 10751)","['Fantasy', 'Animation', 'Family']",1988,41000000.0,3700000.0
9757,Norbit,2007-02-08,11.9548,5.666,"(35,)",['Comedy'],2007,159814490.0,10000000.0
24021,The Twilight Saga: Eclipse,2010-06-23,11.9274,6.205,"(12, 14, 18, 10749)","['Adventure', 'Fantasy', 'Drama', 'Romance']",2010,698491347.0,68000000.0
209112,Batman v Superman: Dawn of Justice,2016-03-23,11.9078,6.0,"(28, 12, 14)","['Action', 'Adventure', 'Fantasy']",2016,874362803.0,250000000.0
1891,The Empire Strikes Back,1980-05-20,11.8966,8.4,"(12, 28, 878)","['Adventure', 'Action', 'Science Fiction']",1980,538400000.0,18000000.0
591,The Da Vinci Code,2006-05-17,11.8131,6.727,"(53, 9648)","['Thriller', 'Mystery']",2006,760006945.0,125000000.0
286217,The Martian,2015-09-30,11.792,7.688,"(18, 12, 878)","['Drama', 'Adventure', 'Science Fiction']",2015,631058917.0,108000000.0
